citekey,metric,value,units,measured_against,page
abramson2024af3,"PoseBusters V1 success, AF3 (2019 cutoff), blind",**76.4** (95% CI 72.1–80.3),% of targets with pocket-aligned ligand r.m.s.d. < 2 Å,"PoseBusters V1 (Aug 2023 release), n = 428 targets; vs RoseTTAFold All-Atom 42.0 (n = 427) and AutoDock Vina 52.3; Fisher's exact P = 2.27 × 10⁻¹³ vs Vina, P = 4.45 × 10⁻²⁵ vs RFAA","p2, p4, p5, p21"
abramson2024af3,"PoseBusters V1 success, AF3 pocket-specified (privileged)",**90.2** (87.0–92.8),% r.m.s.d. < 2 Å,"PoseBusters V1, n = 428; vs Uni-Mol Docking V2 77.6, Vina 52.3, Gold 51.2","p10, p15, p21"
abramson2024af3,"PoseBusters V2 success, AF3 (2019 cutoff), blind",**80.5** (75.6–84.8),% r.m.s.d. < 2 Å,"PoseBusters V2 (Nov 2023, crystal contacts removed), n = 308 targets; vs Vina 59.7; Fisher's exact P = 2.3 × 10⁻⁸","p15, p21"
abramson2024af3,"PoseBusters V2 success, AF3 pocket-specified (privileged)",**93.2** (89.8–95.7),% r.m.s.d. < 2 Å,"PoseBusters V2, n = 308; vs Vina 59.7, Gold 58.1","p15, p21"
abramson2024af3,"PoseBusters V2 success **and** PB-valid, AF3 2019",**73.1**,% r.m.s.d. < 2 Å and passing all PoseBusters validity checks,"PoseBusters V2, n = 308; vs DiffDock 12.7, Vina 58.1",p15
abramson2024af3,"PoseBusters V2, homology-stratified success, AF3 2019",**≈89 / ≈82 / ≈78** (bar heights; exact values not printed),% r.m.s.d. < 2 Å,"Max sequence identity to training proteins (0,30] n = 38 / (30,95] n = 83 / (95,100] n = 187",p15 (ED Fig. 4c)
abramson2024af3,"PoseBusters V2, ligand-familiarity split, AF3 2019",**92.0** (82.0 PB-valid) vs **78.3** (71.3 PB-valid),% r.m.s.d. < 2 Å,"""Common natural"" ligands (>100 PDB occurrences) n = 50 vs others n = 258",p15 (ED Fig. 4d)
abramson2024af3,"Chirality violation rate, AF3 on PoseBusters",**4.4**,"% of benchmark predictions, after the ranking chirality penalty",PoseBusters set,p5
abramson2024af3,"Protein–RNA interface accuracy, AF3",**39.4** (28.5–51.9),iLDDT,"Recent PDB eval set, <1,000 residues, n = 25 structures; vs RoseTTAFold2NA 19.0 (15.6–23.2); Wilcoxon P = 2.57 × 10⁻³","p2, p5, p21"
abramson2024af3,"Protein–dsDNA interface accuracy, AF3",**64.8** (56.4–71.7),iLDDT,"Recent PDB eval set, <1,000 residues, n = 38 structures; vs RoseTTAFold2NA 28.3 (20.7–37.5); Wilcoxon P = 2.78 × 10⁻³","p2, p5, p21"
abramson2024af3,"RNA-only structures, AF3",(AF3 > RF2NA),LDDT,"Low-homology recent PDB set, n = 29 structures; paired Wilcoxon P = 1.6 × 10⁻⁷; medians ≈ 75 (AF3) vs ≈ 68 (RF2NA), read from ED Fig. 5b — **numeric values not printed**",p16 (ED Fig. 5b)
abramson2024af3,"DNA-only structures, AF3",(AF3 > RF2NA),LDDT,"Low-homology recent PDB set, n = 63 structures; paired two-sided Wilcoxon P = 5.2 × 10⁻¹²; medians ≈ 86 vs ≈ 64, read from ED Fig. 5b — **numeric values not printed**",p16 (ED Fig. 5b)
abramson2024af3,"CASP15 RNA, AF3",**47.3** (41.7–55.2),RNA LDDT,"CASP15 RNA, n = 8 targets; vs RoseTTAFold2NA 35.5, AIchemy_RNA 40.9–ish (see table), **AIchemy_RNA2 (human input) 54.5** — AF3 loses to the human-aided entrant","p5, p21"
abramson2024af3,"Bonded ligands, AF3",**78.5** (68.3–86.2),% pocket r.m.s.d. < 2 Å,"Recent PDB eval, high-quality experimental filter, **not homology-filtered**, n = 66 clusters","p5, p21"
abramson2024af3,"Glycosylation, AF3, high-quality single-residue",**72.1** (53.1–85.7),% pocket r.m.s.d. < 2 Å,"Recent PDB eval, ranking_model_fit > 0.5, **not homology-filtered**, n = 28 clusters","p5, p21"
abramson2024af3,"Glycosylation, AF3, all-quality single-residue",**46.0** (40.0–52.1),% pocket r.m.s.d. < 2 Å,"Recent PDB eval, n = 167 clusters","p5, p21"
abramson2024af3,"Glycosylation, AF3, all-quality multi-residue glycans",**42.4** (35.4–49.3),% pocket r.m.s.d. < 2 Å,"Recent PDB eval, n = 131 clusters (p5 quotes 42.1 for the same quantity — see `unresolved`)","p5, p21"
abramson2024af3,"Modified residues, AF3 (all)",**59.9** (52.4–67.0),% pocket r.m.s.d. < 2 Å,"Low-homology recent PDB eval, n = 154 clusters",p21
abramson2024af3,"Modified protein residues, AF3",**51.0** (36.0–65.6),% pocket r.m.s.d. < 2 Å,"Low-homology recent PDB eval, n = 40 clusters","p2, p21"
abramson2024af3,"Modified DNA residues, AF3",**68.6** (59.0–76.9),% pocket r.m.s.d. < 2 Å,"Low-homology recent PDB eval, n = 91 clusters","p2, p21"
abramson2024af3,"Modified RNA residues, AF3",**40.9** (23.4–59.9),% pocket r.m.s.d. < 2 Å,"Low-homology recent PDB eval, n = 23 clusters","p2, p21"
abramson2024af3,"**All protein–protein interfaces, AF3**",**76.6** (74.0–78.9),% of interface clusters with DockQ > 0.23,"Low-homology recent PDB eval, <20 chains, <2,560 tokens, n = 1,064 clusters; vs AlphaFold-Multimer v.2.3 **67.5** (64.7–70.1); paired Wilcoxon P = 1.8 × 10⁻¹⁸","p2, p5, p21"
abramson2024af3,"**Protein–antibody interfaces, AF3**",**62.9** (51.4–73.5),% of interface clusters with DockQ > 0.23,"Low-homology recent PDB eval, n = 65 interface clusters (71 complexes, 166 interfaces); vs AF-M 2.3 **29.6** (19.6–40.4); paired Wilcoxon P = 6.5 × 10⁻⁵; **top-ranked across 1,000 seeds for both models**, not the standard 5","p2, p5, p21"
abramson2024af3,"**Protein monomers, AF3**",**86.9** (86.2–87.6),LDDT,"Low-homology recent PDB eval, n = 338 clusters; vs AF-M 2.3 **85.5** (84.7–86.1); paired Wilcoxon P = 1.7 × 10⁻³⁴","p2, p5, p21"
