receptor_slug	receptor_organism	ligand_role	ligand_name	ligand_ccd	bound_pdb	bound_pdb_state	bound_pdb_resolution	is_our_reference	ligand_species_context	gpcrdb_role	gpcrdb_function_raw	is_peptide	smiles	canonical_smiles	inchikey	smiles_source	evidence	affinity_required	status	why	shares_ccd_with_other_role	must_key_by	ccd_resolves_to_other_isomer
S1PR1	Homo sapiens (Human)	full_agonist	siponimod	J8C	7TD4	Active	2.6	yes	Homo sapiens	agonist	Agonist	0	CCc1cc(ccc1CN1CC(C1)C(=O)O)/C(=N/OCc1ccc(c(c1)C(F)(F)F)C1CCCCC1)/C	CCc1cc(/C(C)=N/OCc2ccc(C3CCCCC3)c(C(F)(F)F)c2)ccc1CN1CC(C(=O)O)C1	KIHYPELVXPAIDH-HNSNBQBZSA-N	CCD:7TD4:J8C	structural	no	enacted	our ACTIVE reference; siponimod, co-crystallised in the structure we score against	0	ccd	0
S1PR1	Homo sapiens (Human)	neutral_antagonist	W146	ML5	3V2Y	Inactive	2.8	yes	Homo sapiens	antagonist	Antagonist	0	CCCCCCc1cccc(c1)NC(=O)[C@@H](CCP(=O)(O)O)N	CCCCCCc1cccc(NC(=O)[C@H](N)CCP(=O)(O)O)c1	FWJRVGZWNDOOFH-OAHLLOKOSA-N	CCD:3V2Y:ML5	structural	no	enacted	our INACTIVE reference; W146	0	ccd	0
HRH3	Homo sapiens (Human)	full_agonist	histamine	HSM	8YN5	Active	2.7	yes	Homo sapiens	agonist	Agonist	0	NCCc1cnc[nH]1	NCCc1cnc[nH]1	NTYJJOPFIAHURM-UHFFFAOYSA-N	CCD:8YN5:HSM	structural	no	enacted	our ACTIVE reference; histamine. 8YUU ties on resolution (2.7 A) and is NOT our reference -- the is-our-reference tiebreak exists because of this pair	0	ccd	0
GHSR	Homo sapiens (Human)	full_agonist	ibutamoren	1KD	7NA8	Active	2.7	no	Homo sapiens	agonist	Agonist	0	O=C([C@H](NC(=O)C(N)(C)C)COCc1ccccc1)N1CCC2(CC1)CN(c1c2cccc1)S(=O)(=O)C	CC(C)(N)C(=O)N[C@H](COCc1ccccc1)C(=O)N1CCC2(CC1)CN(S(C)(=O)=O)c1ccccc12	UMUPQWIGCOZEOY-JOCHJYFZSA-N	CCD:7NA8:1KD	structural	no	enacted	ibutamoren, same deposition as our active reference 7NA7	0	ccd	0
GHSR	Homo sapiens (Human)	neutral_antagonist	CHEMBL1956994	8QX	6KO5	Inactive	3.3	yes	Homo sapiens	antagonist	Antagonist	0	Cc1nc2ccc(Oc3ccc(Br)cc3F)nc2c(=O)n1C[C@H]1CCCN(C(C)C)C1	Cc1nc2ccc(Oc3ccc(Br)cc3F)nc2c(=O)n1C[C@H]1CCCN(C(C)C)C1	LMBFVVBQYYWDKN-INIZCTEOSA-N	CCD:6KO5:8QX	structural	no	enacted	our INACTIVE reference	0	ccd	0
ADRB1	Homo sapiens (Human)	full_agonist	CHEMBL1615159	P0G	7BU7	Active	2.6	yes	Homo sapiens	agonist	Agonist	0	Cc1ccccc1CC(C)(C)NC[C@H](O)c1ccc(O)c2c1OCC(=O)N2	Cc1ccccc1CC(C)(C)NC[C@H](O)c1ccc(O)c2c1OCC(=O)N2	NWQXBEWHTDRJIP-KRWDZBQOSA-N	CCD:7BU7:P0G	structural	no	enacted	our ACTIVE reference; human. ADRB1 has no plain antagonist at all, only inverse agonists -- that is why C-1 blocked it, and why relaxing C-1 is the only thing that could have unblocked it	0	ccd	0
ADRB1	Homo sapiens (Human)	inverse_agonist	Carazolol	CAU	7BVQ	Inactive	2.5	yes	Homo sapiens	antagonist	Inverse agonist	0	CC(C)NC[C@@H](COC1=CC=CC2=C1C3=CC=CC=C3N2)O	CC(C)NC[C@H](O)COc1cccc2[nH]c3ccccc3c12	BQXQGZPYHWWCEB-ZDUSSCGKSA-N	CCD:7BVQ:CAU	structural	no	enacted	our INACTIVE reference; carazolol, human. Every candidate GPCRdb types a true 'Antagonist' for ADRB1 is Meleagris gallopavo, so the alternative to C-1 relaxation was a cross-species pick	0	ccd	0
B1B1U5	Hasarius adansoni	full_agonist	11,20-Ethanoretinal	A1H6M	9EPP	Active	4.06	yes	Hasarius adansoni	agonist	Agonist	0	CC1=C(C(CCC1)(C)C)/C=C/C(=C/C2=C/C(=C/C=O)/CCC2)/C	CC1=C(/C=C/C(C)=C/C2=C/C(=C/C=O)CCC2)C(C)(C)CCC1	FOYUFPJPFUUNOX-ZRTTZBFNSA-N	CCD:9EPP:A1H6M	structural	no	enacted	our ACTIVE reference; 11,20-ethanoretinal, a ring-locked analogue	0	ccd	0
B1B1U5	Hasarius adansoni	inverse_agonist	Retinal (11-cis)	RET	6I9K	Inactive	2.15	yes	Hasarius adansoni	antagonist	Inverse agonist	0	CC1=C(C(CCC1)(C)C)/C=C/C(=C/C=C\C(=C\C=O)\C)/C	CC1=C(/C=C/C(C)=C/C=C\C(C)=C\C=O)C(C)(C)CCC1	NCYCYZXNIZJOKI-IOUUIBBYSA-N	CCD:6I9K:RET	structural	no	enacted	our INACTIVE reference; 11-cis retinal. Different CCD from the agonist, so F-11's one-CCD trap does not bite this pair	0	inchikey	1
OPSD	Bos taurus (Bovine)	full_agonist	Retinal (all-trans)	RET	5DYS	Active	2.3	no	Bos taurus	agonist	Agonist	0	CC1=C(C(CCC1)(C)C)/C=C/C(=C/C=C/C(=C/C=O)/C)/C	CC1=C(/C=C/C(C)=C/C=C/C(C)=C/C=O)C(C)(C)CCC1	NCYCYZXNIZJOKI-OVSJKPMPSA-N	CCD:5DYS:RET	structural	no	enacted	all-trans retinal. OFF-REFERENCE by necessity: our active reference 4X1H carries a detergent (BNG) and no agonist at all. SHARES THE CCD 'RET' with the inverse agonist and is a DIFFERENT MOLECULE -- key by InChIKey, never by CCD (F-11)	1	inchikey	0
