row_id,receptor,input_state_claim,uniprot,input_path,input_sha256,backbone,arm,seed_outer,seed_inner,cell_id,gpcr_class,d_npxxy_oh,d_gpcrdb_tm6_tilt_246_637_ca,tm6_kink_angle,delta_to_active,delta_to_inactive,rmsd_to_active_ref,rmsd_to_inactive_ref,npxxy_active,tilt_active,active,threshold_npxxy_used,threshold_tilt_used,threshold_kink_used,plddt_mean,plddt_at_anchors,plddt_at_anchors_list,min_plddt_at_anchor,n_interface_contacts_ga_receptor,d_ga_alpha5_r350_ca,plddt_ga_alpha5,engaged,tm6_helicity_6_30_6_50,tm6_helicity_pass,excl_E1,excl_E2,excl_E3,excl_E3_tilt,excl_E3_npxxy,excl_E4,excl_E5,excl_any,excl_reason,ref_pdb_sha_active,ref_pdb_sha_inactive,passed,A1_amino_acid_identity,A2_fasta_completeness,A3_wrong_chain,A4_reference_class_match,A5_species_match,A6_receptor_identity,scorer_git_sha,scorer_version
0,5HT1B,apo,5ht1b_human,/hpc/scratch/sengaad1/paper_af3/experiments/018_block_a_switch_test/018_block_a_switch_test_5ht1b_apo_chai/6c60faf66064/chai/seed_1298514630/pred.model_idx_3.cif,6214054270b19009085fb3bc03c2352250815bf2dd84643efd8e027ccd894326,chai,apo,1298514630,1298514630,5HT1B_apo_chai,A,12.831841411114777,13.74902600186646,154.9654006818816,-8.964968842210702,-7.63610396248453,2.0209,1.2331,False,False,False,9.08,14.932,,74.87415990703285,83.98174691989482,"[76.88845443725586, 86.74000040690105, 89.00408299763997, 66.59733412000868, 81.86757114955357, 78.71841684977214, 93.86000061035156, 83.42099952697754, 91.70328630719867, 78.48325204849243, 94.60987567901611, 90.53985595703125, 93.00960006713868, 92.63800048828125, 71.58454652266069, 69.12874984741211, 77.17518199573864, 88.25387477874756, 93.51085553850446, 81.90099906921387]",66.59733412000868,,,,,0.9523809523809524,True,False,False,False,False,False,False,False,False,,34f4e88c86bc36ec109c96ba6949f0cab62a58f72461685f785f885159a7ad05,3a6236e996ff0b62d0aa1967cecbf388945418eef0cebb11e09eebc7d32412c0,True,,,,,,,04243c45bdd2285ca195add098a7f333a0d60476,0.1.0+04243c45bdd2285ca195add098a7f333a0d60476
1,5HT1B,apo,5ht1b_human,/hpc/scratch/sengaad1/paper_af3/experiments/018_block_a_switch_test/018_block_a_switch_test_5ht1b_apo_chai/6c60faf66064/chai/seed_1298514630/pred.model_idx_4.cif,3fa38e77ba84ed78f717cc6eaa838bfb7333e4a89f1f99ad684261982cd90716,chai,apo,1298514630,1298514630,5HT1B_apo_chai,A,13.58983966056995,15.191027088383455,160.09931762893822,-6.514484833245772,-5.1856199535196,1.552,1.0111,False,True,False,9.08,14.932,,74.66614022513572,83.97263848187087,"[77.0839992869984, 86.67516644795735, 89.3254992167155, 67.38811111450195, 82.3692866734096, 78.5892505645752, 93.84962463378906, 83.97175025939941, 91.85128566196987, 78.41187572479248, 94.60925006866455, 89.94214303152901, 92.96890106201172, 92.62839965820312, 71.45845447887073, 68.73949956893921, 76.80218297784978, 88.13712406158447, 93.30071585518974, 81.35024929046631]",67.38811111450195,,,,,0.9523809523809524,True,False,False,False,False,False,False,False,False,,34f4e88c86bc36ec109c96ba6949f0cab62a58f72461685f785f885159a7ad05,3a6236e996ff0b62d0aa1967cecbf388945418eef0cebb11e09eebc7d32412c0,True,,,,,,,04243c45bdd2285ca195add098a7f333a0d60476,0.1.0+04243c45bdd2285ca195add098a7f333a0d60476
2,5HT1B,apo,5ht1b_human,/hpc/scratch/sengaad1/paper_af3/experiments/018_block_a_switch_test/018_block_a_switch_test_5ht1b_apo_chai/6c60faf66064/chai/seed_1299197788/pred.model_idx_0.cif,48059ed7c1f8da273499a545d830b2741d842f28aa62366bb8602273377c8e57,chai,apo,1299197788,1299197788,5HT1B_apo_chai,A,13.856692534656316,14.855359605206466,155.53921371124133,-7.680597185720376,-6.351732305994204,1.7659,1.1583,False,False,False,9.08,14.932,,74.65259326986931,83.90063165972244,"[76.85309115323153, 86.68608474731445, 89.24633344014485, 67.5618896484375, 82.42071424211774, 78.86025047302246, 93.8050012588501, 83.61037540435791, 91.72071402413505, 78.52799987792969, 94.57875061035156, 89.85828508649554, 92.74909896850586, 92.55500030517578, 71.84081788496538, 68.57112455368042, 75.83163660222834, 88.15637588500977, 93.19771466936383, 81.38137435913086]",67.5618896484375,,,,,0.9523809523809524,True,False,False,False,False,False,False,False,False,,34f4e88c86bc36ec109c96ba6949f0cab62a58f72461685f785f885159a7ad05,3a6236e996ff0b62d0aa1967cecbf388945418eef0cebb11e09eebc7d32412c0,True,,,,,,,04243c45bdd2285ca195add098a7f333a0d60476,0.1.0+04243c45bdd2285ca195add098a7f333a0d60476
3,5HT1B,apo,5ht1b_human,/hpc/scratch/sengaad1/paper_af3/experiments/018_block_a_switch_test/018_block_a_switch_test_5ht1b_apo_chai/6c60faf66064/chai/seed_1299197788/pred.model_idx_1.cif,74f50df8288463c51237fec4da7a39ac6932038394ac3091a5d0e6353825094e,chai,apo,1299197788,1299197788,5HT1B_apo_chai,A,13.422728709170872,14.837801454393436,155.2112640766363,-6.933499555596811,-5.6046346758706385,1.6587,1.0676,False,False,False,9.08,14.932,,74.67455215273738,83.91012567833216,"[76.88163722645153, 86.62391599019368, 89.26608403523763, 67.719665951199, 82.45628465924945, 78.95033264160156, 93.83325004577637, 83.59587383270264, 91.76128605433873, 78.639000415802, 94.5642499923706, 89.7095707484654, 92.82479934692383, 92.56159973144531, 71.94127308238636, 68.69700145721436, 75.93072648481889, 88.15187454223633, 93.10071345738002, 80.99337387084961]",67.719665951199,,,,,0.9523809523809524,True,False,False,False,False,False,False,False,False,,34f4e88c86bc36ec109c96ba6949f0cab62a58f72461685f785f885159a7ad05,3a6236e996ff0b62d0aa1967cecbf388945418eef0cebb11e09eebc7d32412c0,True,,,,,,,04243c45bdd2285ca195add098a7f333a0d60476,0.1.0+04243c45bdd2285ca195add098a7f333a0d60476
4,5HT1B,apo,5ht1b_human,/hpc/scratch/sengaad1/paper_af3/experiments/018_block_a_switch_test/018_block_a_switch_test_5ht1b_apo_chai/6c60faf66064/chai/seed_1299197788/pred.model_idx_2.cif,e11491cf974b93eb8a273a3bf9f8ddc403353688b830681fdab811ac598c3dc8,chai,apo,1299197788,1299197788,5HT1B_apo_chai,A,13.681658123195447,15.356749721213795,156.2172186497938,-6.100225224697281,-4.771360344971109,1.4936,1.0678,False,True,False,9.08,14.932,,74.65762595174456,83.85347200607669,"[76.76000074906783, 86.44091669718425, 88.99366696675618, 67.80544577704535, 82.25700051443917, 78.32541847229004, 93.81500053405762, 83.34337425231934, 91.75899832589286, 78.37124967575073, 94.56600093841553, 89.95657130650112, 92.85430068969727, 92.59179992675782, 71.74563667990945, 68.8549976348877, 75.96254522150213, 88.03037357330322, 93.21814291817802, 81.41799926757812]",67.80544577704535,,,,,0.9523809523809524,True,False,False,False,False,False,False,False,False,,34f4e88c86bc36ec109c96ba6949f0cab62a58f72461685f785f885159a7ad05,3a6236e996ff0b62d0aa1967cecbf388945418eef0cebb11e09eebc7d32412c0,True,,,,,,,04243c45bdd2285ca195add098a7f333a0d60476,0.1.0+04243c45bdd2285ca195add098a7f333a0d60476
5,5HT1B,apo,5ht1b_human,/hpc/scratch/sengaad1/paper_af3/experiments/018_block_a_switch_test/018_block_a_switch_test_5ht1b_apo_chai/6c60faf66064/chai/seed_1299197788/pred.model_idx_3.cif,f655544e73ee5aa05f18c8ea59a40d21cb05889246f2145a3de5699589ac43ca,chai,apo,1299197788,1299197788,5HT1B_apo_chai,A,13.310541123485551,14.21343667098144,158.6679832268776,-7.792559081820181,-6.463694202094009,1.8475,1.1435,False,False,False,9.08,14.932,,74.69187025953715,83.83034518996014,"[76.93718199296431, 86.71266619364421, 89.23141670227051, 67.27744505140517, 82.36614336286273, 78.96991602579753, 93.83099937438965, 83.5577507019043, 91.69985634940011, 78.66700029373169, 94.54725074768066, 89.82742854527065, 92.83450012207031, 92.57640075683594, 71.90709096735173, 68.47749853134155, 75.5879995172674, 88.1066255569458, 93.0298570905413, 80.46187591552734]",67.27744505140517,,,,,0.9523809523809524,True,False,False,False,False,False,False,False,False,,34f4e88c86bc36ec109c96ba6949f0cab62a58f72461685f785f885159a7ad05,3a6236e996ff0b62d0aa1967cecbf388945418eef0cebb11e09eebc7d32412c0,True,,,,,,,04243c45bdd2285ca195add098a7f333a0d60476,0.1.0+04243c45bdd2285ca195add098a7f333a0d60476
6,5HT1B,apo,5ht1b_human,/hpc/scratch/sengaad1/paper_af3/experiments/018_block_a_switch_test/018_block_a_switch_test_5ht1b_apo_chai/6c60faf66064/chai/seed_1299197788/pred.model_idx_4.cif,4d50d915fc6d29c1fac2a823d8390f45b2cdd979657d58f0d9e733a3b9440cfc,chai,apo,1299197788,1299197788,5HT1B_apo_chai,A,13.58165236633599,15.193181694431225,154.68480631055303,-5.533978960604115,-4.205114080877943,1.4119,1.0274,False,True,False,9.08,14.932,,74.70067719804966,83.91552177581951,"[76.97336300936612, 86.509583791097, 89.22641499837239, 67.27744420369466, 82.40657152448382, 78.91641743977864, 93.92675018310547, 83.47175025939941, 91.82714298793248, 78.42937517166138, 94.56925010681152, 89.89671434674945, 92.7797004699707, 92.55859985351563, 71.83654577081853, 68.9676251411438, 76.23836309259588, 88.13200092315674, 93.18257141113281, 81.184250831604]",67.27744420369466,,,,,0.9523809523809524,True,False,False,False,False,False,False,False,False,,34f4e88c86bc36ec109c96ba6949f0cab62a58f72461685f785f885159a7ad05,3a6236e996ff0b62d0aa1967cecbf388945418eef0cebb11e09eebc7d32412c0,True,,,,,,,04243c45bdd2285ca195add098a7f333a0d60476,0.1.0+04243c45bdd2285ca195add098a7f333a0d60476
7,5HT1B,apo,5ht1b_human,/hpc/scratch/sengaad1/paper_af3/experiments/018_block_a_switch_test/018_block_a_switch_test_5ht1b_apo_chai/6c60faf66064/chai/seed_1419042019/pred.model_idx_0.cif,055fb59c5988c0298015f0e047d971a490e3d626a24fc3774ad2e0c96f3bd323,chai,apo,1419042019,1419042019,5HT1B_apo_chai,A,13.410341569102556,15.012798206863373,156.68314081820134,-6.2951470303798285,-4.966282150653656,1.5266,1.0129,False,True,False,9.08,14.932,,74.59423392497531,83.7331389622874,"[76.83772798018022, 86.34674962361653, 88.72333335876465, 66.97577794392903, 81.95242745535714, 78.39675076802571, 93.8715009689331, 83.33074951171875, 91.76714324951172, 78.0968747138977, 94.56012630462646, 89.89700099400112, 92.87919998168945, 92.60780029296875, 71.52609148892489, 68.3093752861023, 76.40645391290838, 87.9606237411499, 93.11457170758929, 81.10249996185303]",66.97577794392903,,,,,0.9523809523809524,True,False,False,False,False,False,False,False,False,,34f4e88c86bc36ec109c96ba6949f0cab62a58f72461685f785f885159a7ad05,3a6236e996ff0b62d0aa1967cecbf388945418eef0cebb11e09eebc7d32412c0,True,,,,,,,04243c45bdd2285ca195add098a7f333a0d60476,0.1.0+04243c45bdd2285ca195add098a7f333a0d60476
8,5HT1B,apo,5ht1b_human,/hpc/scratch/sengaad1/paper_af3/experiments/018_block_a_switch_test/018_block_a_switch_test_5ht1b_apo_chai/6c60faf66064/chai/seed_1687304943/pred.model_idx_4.cif,91eadde07a5d30377b49a8da87e87dc337139894ca55045a517e89ba5885ba57,chai,apo,1687304943,1687304943,5HT1B_apo_chai,A,13.370881870692,14.808026809808254,155.5742829704862,-6.187566878206701,-4.858701998480528,1.5606,1.0289,False,False,False,9.08,14.932,,74.78458337611636,84.00519217091377,"[77.0147257718173, 86.8343334197998, 89.35524940490723, 67.49755562676324, 82.65914263044085, 78.87716674804688, 93.9357500076294, 83.90975093841553, 91.85728563581195, 78.7975001335144, 94.61662483215332, 89.96014186314174, 92.9740997314453, 92.69499969482422, 71.86863673817028, 68.59999942779541, 75.60027313232422, 88.30325031280518, 93.31385803222656, 81.43349933624268]",67.49755562676324,,,,,0.9523809523809524,True,False,False,False,False,False,False,False,False,,34f4e88c86bc36ec109c96ba6949f0cab62a58f72461685f785f885159a7ad05,3a6236e996ff0b62d0aa1967cecbf388945418eef0cebb11e09eebc7d32412c0,True,,,,,,,04243c45bdd2285ca195add098a7f333a0d60476,0.1.0+04243c45bdd2285ca195add098a7f333a0d60476
9,5HT1B,apo,5ht1b_human,/hpc/scratch/sengaad1/paper_af3/experiments/018_block_a_switch_test/018_block_a_switch_test_5ht1b_apo_chai/6c60faf66064/chai/seed_2139355899/pred.model_idx_0.cif,ea2039fb83a2f8e7751c3878dafad2c530dca849685223d4dffd4d214d2efef9,chai,apo,2139355899,2139355899,5HT1B_apo_chai,A,13.350107527656846,15.266067404541356,156.41730701109998,-6.351654944928326,-5.0227900652021535,1.5355,1.085,False,True,False,9.08,14.932,,74.80425403970168,84.06230580036774,"[77.22309147227894, 86.74716567993164, 89.4205830891927, 67.70211029052734, 82.37557111467633, 78.94124984741211, 93.9640007019043, 84.27037525177002, 91.87757110595703, 78.82437419891357, 94.57749938964844, 89.98957061767578, 92.94420013427734, 92.69320068359374, 72.04954424771395, 68.9045000076294, 75.4744547063654, 88.33449935913086, 93.21842847551618, 81.71412563323975]",67.70211029052734,,,,,0.9523809523809524,True,False,False,False,False,False,False,False,False,,34f4e88c86bc36ec109c96ba6949f0cab62a58f72461685f785f885159a7ad05,3a6236e996ff0b62d0aa1967cecbf388945418eef0cebb11e09eebc7d32412c0,True,,,,,,,04243c45bdd2285ca195add098a7f333a0d60476,0.1.0+04243c45bdd2285ca195add098a7f333a0d60476
