receptor,active_pdb,inactive_pdb,pocket_ca_rmsd_A,delta_ref_npxxy_A,delta_ref_tilt_A,pocket_ca_rank_of_40,cif_source_note,n_pocket,n_common_tm,tm_kabsch_rmsd_A,status,pocket_missing
5HT1B,6G79,4IAR,0.5323,-2.6929,3.7945,1,"release/panel/refs/pdb (active=6g79.cif, inactive=4iar.cif)",12,221,1.5297,ok,
5HT2C,8DPF,6BQH,0.9082,-3.0222,5.0329,7,"release/panel/refs/pdb (active=8dpf.cif, inactive=6bqh.cif)",12,220,2.0521,ok,
5HT5A,7UM5,7UM4,0.8421,-3.1786,6.1185,6,"release/panel/refs/pdb (active=7um5.cif, inactive=7um4.cif)",12,219,2.8284,ok,
AA1R,7LD3,5UEN,1.2516,-4.2186,5.1792,21,"release/panel/refs/pdb (active=7ld3.cif, inactive=5uen.cif)",12,222,2.5928,ok,
AA2AR,5G53,5NM4,1.6195,-5.108,6.1038,34,"release/panel/refs/pdb (active=5g53.cif, inactive=5nm4.cif)",12,209,2.89,ok,
ACM1,6OIJ,6ZFZ,1.3146,-3.6304,4.6515,23,"release/panel/refs/pdb (active=6oij.cif, inactive=6zfz.cif)",12,212,2.2284,ok,
ACM2,7T94,5ZKC,1.068,-2.2022,5.671,13,"release/panel/refs/pdb (active=7t94.cif, inactive=5zkc.cif)",12,219,2.3123,ok,
ACM4,7TRP,5DSG,1.1105,-4.1388,5.898,18,"release/panel/refs/pdb (active=7trp.cif, inactive=5dsg.cif)",12,224,2.2568,ok,
ADA2A,9CBL,6KUX,1.0365,-4.9061,7.8937,11,"release/panel/refs/pdb (active=9cbl.cif, inactive=6kux.cif)",12,217,2.916,ok,
ADRB1,7BU7,7BVQ,0.92,-4.0139,6.4059,8,"release/panel/refs/pdb (active=7bu7.cif, inactive=7bvq.cif)",12,221,1.9568,ok,
ADRB2,4LDE,6PS2,1.0535,-3.594,5.8112,12,"release/panel/refs/pdb (active=4lde.cif, inactive=6ps2.cif)",12,218,2.3372,ok,
AGTR1,6OS2,4ZUD,1.8722,-4.779,7.8576,39,"release/panel/refs/pdb (active=6os2.cif, inactive=4zud.cif)",12,226,2.5534,ok,
APJ,8XZH,8S4D,0.6289,-4.7024,2.2924,2,"release/panel/refs/pdb (active=8xzh.cif, inactive=8s4d.cif)",12,231,2.3881,ok,
