item,experiment,arm,receptor_set,enumeration,receptor_slug,receptor_uniprot,receptor_organism,receptor_cluster,chain_a_source,chain_a_sha256,chain_b_construct,n_shared_draws,registry_matches,chain_b_family_rule,cognate_evidence_class,supplied_partner_family,supplied_partner_subtype,reference_tip_subtype,supplied_partner_independence,cognate_vs_reference_agree,tier,chain_b_len,chain_b_len_family_dependent,chain_b_sha256,chain_c,n_chains,partner_msa,receptor_msa,ligand,backbones,n_pooled,n_percell,predictions_pooled,predictions_percell,note
G1a/G1b,E1.1,ladder,CORE32(provisional),per_receptor,5HT5A,P47898,Homo sapiens (Human),001_001_001,seqrec_trimmed.fasta:1-357,d2f2f70ece4e15359b239d748893980caf60bf73406b2777723aee6e168d8371,R0_apo,1,1,-,n/a,Gi/o,Gi1,Gi1,annotation only -- independent of the structure,yes,PRIMARY,0,no,-,-,1,n/a,on (default),none,boltz2|openfold3|protenix|chai1,10,50,40,200,the 7 costed ladder rungs; R0_apo has no chain B
G1a/G1b,E1.1,ladder,CORE32(provisional),per_receptor,AA1R,P30542,Homo sapiens (Human),001_006_001,seqrec_trimmed.fasta:1-326,1287bf4746a29da750f6c6b98f8c56e324160e07114ae16472b00598f130c4a1,R0_apo,1,1,-,n/a,Gi/o,Gi1,Gi1,NOT INDEPENDENT: the coupling recommendation was taken from the deposited reference,yes,PRIMARY,0,no,-,-,1,n/a,on (default),none,boltz2|openfold3|protenix|chai1,10,50,40,200,the 7 costed ladder rungs; R0_apo has no chain B
G1a/G1b,E1.1,ladder,CORE32(provisional),per_receptor,AA2AR,P29274,Homo sapiens (Human),001_006_001,seqrec_trimmed.fasta:1-412,d1707e447ac7d7fcd10f6f1c1e61754460b8f5e206eedc0ba64747cd49b733f2,R0_apo,1,1,-,n/a,Gs,Gs,Gs,annotation only -- independent of the structure,yes,PRIMARY,0,no,-,-,1,n/a,on (default),none,boltz2|openfold3|protenix|chai1,10,50,40,200,the 7 costed ladder rungs; R0_apo has no chain B
G1a/G1b,E1.1,ladder,CORE32(provisional),per_receptor,ACM4,P08173,Homo sapiens (Human),001_001_002,seqrec_trimmed.fasta:1-479,f70d1259f715e6623d47df37bf5b8b7588be8a29df97c3395ddcf28f3c3d0593,R0_apo,1,1,-,n/a,Gi/o,Gi1,Gi1,annotation only -- independent of the structure,yes,PRIMARY,0,no,-,-,1,n/a,on (default),none,boltz2|openfold3|protenix|chai1,10,50,40,200,the 7 costed ladder rungs; R0_apo has no chain B
G1a/G1b,E1.1,ladder,CORE32(provisional),per_receptor,ADRB1,P08588,Homo sapiens (Human),001_001_003,seqrec_trimmed.fasta:1-477,18fcd61221ac38d04dac6ba1884d8ecd1c47c0e94922905c5b51382d95849c3a,R0_apo,1,1,-,n/a,Gs,Gs,Gs,annotation only -- independent of the structure,yes,PRIMARY,0,no,-,-,1,n/a,on (default),none,boltz2|openfold3|protenix|chai1,10,50,40,200,the 7 costed ladder rungs; R0_apo has no chain B
G1a/G1b,E1.1,ladder,CORE32(provisional),per_receptor,AGTR1,P30556,Homo sapiens (Human),001_002_001,seqrec_trimmed.fasta:1-359,6dae55828357a7880be08083bf83f85b1cb3d994c509c40dafd65fab164cdd76,R0_apo,1,1,-,n/a,Gq/11,Gq,Gq,annotation only -- independent of the structure,yes,PRIMARY,0,no,-,-,1,n/a,on (default),none,boltz2|openfold3|protenix|chai1,10,50,40,200,the 7 costed ladder rungs; R0_apo has no chain B
G1a/G1b,E1.1,ladder,CORE32(provisional),per_receptor,APJ,P35414,Homo sapiens (Human),001_002_002,seqrec_trimmed.fasta:1-380,7c44a5c602ed3747f888e66d3e0d1e9f5f7ad40194536c4cf2fd76611124e520,R0_apo,1,1,-,n/a,Gi/o,Gi1,Gi1,annotation only -- independent of the structure,yes,PRIMARY,0,no,-,-,1,n/a,on (default),none,boltz2|openfold3|protenix|chai1,10,50,40,200,the 7 costed ladder rungs; R0_apo has no chain B
G1a/G1b,E1.1,ladder,CORE32(provisional),per_receptor,B1B1U5,B1B1U5,Hasarius adansoni,001_009_001_inv,seqrec_trimmed.fasta:1-372,ba8fa863e837d8a9d2f25e2b0cae52f22ea2f32a046185d66ef8a83f862dc539,R0_apo,1,1,-,n/a,Gq/11,Gq,Gq,"NOT INDEPENDENT: this receptor has NO non-structure coupling authority at all -- no assay, no GproteinDb row, no IUPHAR entry. Its whole 'annotation' is a reading of its own deposited structures (9EPP:G11/Gq; 9EPR:Gi1/Gi2), so the biology column and the reference column are the same evidence twice",yes,PRIMARY,0,no,-,-,1,n/a,on (default),none,boltz2|openfold3|protenix|chai1,10,50,40,200,the 7 costed ladder rungs; R0_apo has no chain B
G1a/G1b,E1.1,ladder,CORE32(provisional),per_receptor,C5AR1,P21730,Homo sapiens (Human),001_002_006,seqrec_trimmed.fasta:1-350,dc48c194272465c04ae4727f3710ca1c75b6ca77006ea1730ed45ea75035d730,R0_apo,1,1,-,n/a,Gi/o,Gi1,Gi1,NOT INDEPENDENT: the coupling recommendation was taken from the deposited reference,yes,PRIMARY,0,no,-,-,1,n/a,on (default),none,boltz2|openfold3|protenix|chai1,10,50,40,200,the 7 costed ladder rungs; R0_apo has no chain B
G1a/G1b,E1.1,ladder,CORE32(provisional),per_receptor,CCKAR,P32238,Homo sapiens (Human),001_002_005,seqrec_trimmed.fasta:1-428,db51d7d7e7d75f30f42489829f22d751b64154d93bce190aaf7ae6f239a55695,R0_apo,1,1,-,n/a,Gs,Gs,Gs,NOT INDEPENDENT: the coupling recommendation was taken from the deposited reference,yes,PRIMARY,0,no,-,-,1,n/a,on (default),none,boltz2|openfold3|protenix|chai1,10,50,40,200,the 7 costed ladder rungs; R0_apo has no chain B
